word,count
act,11
ada,50
add,12
age,14
ago,21
aha,13
aid,1
aim,3
ain,41
air,59
ale,4
apt,1
arc,1
ard,1
ark,2
arm,62
arn,1
art,11
ash,2
ask,58
ass,2
ate,8
ath,1
awa,2
awe,1
axe,2
aye,83
bad,44
bag,8
bah,9
bar,11
bat,1
bed,69
bee,4
beg,25
bib,1
bid,1
big,5
bit,13
ble,1
bob,7
bof,5
boh,2
bor,1
bow,6
box,31
boy,66
bud,1
buy,7
bye,33
cab,1
cap,12
car,1
cat,6
cly,1
cod,1
com,1
con,2
cos,3
cot,1
cow,1
cry,12
cue,1
cup,2
cur,2
cut,20
dan,6
day,175
der,1
dew,1
die,10
dig,3
dim,5
dip,2
dog,17
dry,14
due,4
dug,5
dye,2
ear,11
eat,6
ebb,1
eel,1
egg,3
ell,2
elm,1
ely,1
end,46
ene,1
era,1
ere,1
eve,4
evr,2
eye,42
fag,1
fah,1
fan,5
far,55
fat,7
fed,2
fee,2
fin,5
fit,4
fly,3
fog,6
fox,1
fro,12
ful,2
fun,1
fur,13
gab,1
gal,1
gas,3
gay,3
gen,1
get,83
gha,3
gig,2
gin,2
giv,2
god,57
goo,1
got,85
gum,1
gun,1
guv,1
hah,23
hal,2
ham,23
han,1
hat,25
haw,1
hay,2
hem,19
hey,7
hid,1
hip,3
hit,3
hob,1
hor,1
hot,18
hug,3
hul,1
hum,11
hut,1
ice,3
ies,1
ill,43
ily,1
imp,1
ink,10
inn,11
isn,15
ith,3
ivy,1
ize,1
jam,1
jar,3
jet,1
jew,4
jip,9
job,8
joe,71
jog,1
joy,10
jug,3
ket,4
key,15
kin,1
kit,91
lad,7
lap,3
lar,2
law,46
lay,23
led,12
leg,11
ler,1
let,181
lid,4
lie,12
lip,9
liz,5
loa,2
log,2
loo,2
lor,10
lot,5
low,29
lud,1
mad,8
man,226
map,1
mas,19
mat,4
may,176
men,54
met,14
mid,1
min,1
mis,2
mix,1
mob,1
mrs,498
mud,5
mum,1
mun,2
nat,3
nay,13
ned,3
neg,1
ner,1
new,51
nod,6
non,3
nut,1
odd,9
oho,8
oil,4
old,271
ole,1
one,458
ony,1
ope,1
org,20
owe,8
pan,2
pap,1
par,1
pat,1
pay,12
pea,1
peg,1
pen,7
per,3
pew,1
pie,8
pig,1
pin,2
pip,33
pit,6
ply,1
pod,1
pon,1
pot,7
pro,2
pry,1
pum,1
pur,1
put,110
que,1
quo,1
rag,1
ral,3
ram,1
ran,13
rap,1
rat,6
raw,6
ray,1
red,42
